OEM,Device,,Score
HMD,Skyline,,9
Google,Pixel Fold,,3
Google,Pixel 8,,6
Google,Pixel 8 Pro,,6
Apple,iPhone 15,,4
Apple,iPhone 15 Plus,,4
Apple,iPhone 15 Pro,,4
Apple,iPhone 15 Pro Max,,4
Fairphone,5,,10
Google,Pixel 7a,,4
Nokia,G22,,8
Samsung,Galaxy S23 Ultra,,4
Google,Pixel 7,,5
Google,Pixel 7 Pro,,5
Apple,iPhone 14,,4
Apple,iPhone 14 Plus,,7
Apple,iPhone 14 Pro,,6
Apple,iPhone 14 Pro Max,,6
Google,Pixel 6a,,5
Samsung,Galaxy S22,,3
Samsung,Galaxy S22 Ultra,,3
Fairphone,4,,10
Google,Pixel 6,,6
Google,Pixel 6 Pro,,5
Apple,iPhone 13 Pro,,6
Google,Pixel 5a,,6
Mi,11,,4
Huawei,Mate 40 Pro,,4
Apple,iPhone 12 Pro Max,,6
Apple,iPhone 12 mini,,6
Apple,iPhone 12 Pro,,6
Google,Pixel 5,,6
Microsoft,Surface Duo,,2
Google,Pixel 4a,,6
Samsung,Galaxy Note 20 Ultra,,3
Apple,iPhone SE 2020,,6
Samsung,Galaxy A51,,4
Samsung,Galaxy S20 Ultra,,3
Samsung,Galaxy Z Flip,,2
Motorola,razr,,1
Google,Pixel 4 XL,,4
Apple,iPhone 11,,6
Apple,iPhone 11 Pro Max,,6
Fairphone,3,,10
Samsung,Galaxy Note10 Plus 5G,,3
Shift,6m,,9
Huawei,Mate 20 X 5G,,4
Google,Pixel 3a,,6
Google,Pixel 3a XL,,6
Samsung,Galaxy Fold,,2
Samsung,Galaxy S10,,3
Huawei,Mate 20 Pro,,4
Apple,iPhone XR,,6
Google,Pixel 3 XL,,4
Google,Pixel 3,,4
Apple,iPhone XS,,6
Nokia,8110 4G,,8
LG,G7 Thin Q,,4
OnePlus,6,,5
Huawei,P20 Pro,,4
Samsung,Galaxy S9 Plus,,4
Samsung,Galaxy S9,,4
Apple,iPhone X,,6
Google,Pixel 2 XL,,6
Google,Pixel 2,,6
Huawei,Mate 10 Pro,,4
Apple,iPhone 8,,6
Apple,iPhone 8 Plus,,6
Samsung,Galaxy Note8,,4
Essential,Phone,,1
Samsung,Galaxy Note Fan Edition,,4
OnePlus,5,,7
Samsung,Galaxy S8 Plus,,4
Samsung,Galaxy S8,,4
LG,G6,,5
Huawei,Mate 9,,5
Google,Pixel XL,,7
Google,Pixel,,7
Apple,iPhone 7,,7
Apple,iPhone 7 Plus,,7
Sony,Xperia X Compact,,6
Moto,Z,,7
Samsung,Galaxy Note7,,4
Asus,Zenfone 3 Max,,6
Meizu,MX6,,7
LG,G5,,8
Vivo,X7 Plus,,7
Vivo,X7,,6
Huawei,P9,,7
Xiaomi,Mi 5,,6
Apple,iPhone SE,,6
Oppo,R9m,,7
Samsung,Galaxy S7,,3
Samsung,Galaxy S7 Edge,,3
Lenovo,K5 Note,,6
Fairphone,2,,10
Huawei,Mate 8,,6
Xiaomi,Redmi Note 3,,8
Wiko,Pulp 4G Phone,,7
Apple,iPhone 6s,,7
Apple,iPhone 6s Plus,,7
Nexus,5X,,7
Nexus,6P,,2
OnePlus,2,,7
Shift,5.1,,6
LG,G4,,8
Samsung,Galaxy S6,,4
Samsung,Galaxy S6 Edge,,3
HTC,One M9,,2
Nexus,6,,7
Apple,iPhone 6 Plus,,7
Apple,iPhone 6,,7
Samsung,Galaxy Alpha,,5
Amazon,Fire Phone,,3
Samsung,Galaxy S5 Mini,,5
OnePlus,One,,5
Samsung,Galaxy S5,,5
HTC,One M8,,2
Fairphone,1,,7
Nexus,5,,8
Apple,iPhone 5c,,6
Apple,iPhone 5s,,6
Motorola,Moto X 1st Generation,,7
Samsung,Galaxy S4,,8
HTC,One,,1
BlackBerry,Z10,,8
Nexus,4,,7
Samsung,Galaxy Note II,,8
Apple,iPhone 5,,7
Samsung,Galaxy S III,,8
Motorola,Droid 4,,4
Samsung,Galaxy Nexus,,7
Motorola,Droid RAZR,,4
Apple,iPhone 4S,,6
Samsung,Galaxy Note,,8
Motorola,Droid Bionic,,9
Motorola,Droid 3,,6
Samsung,Galaxy S II,,8
Samsung,Galaxy S 4G,,6
Apple,iPhone 4 Verizon,,6
Motorola,Atrix 4G,,9
Nexus,S,,7
HTC,Surround,,5
Nokia,N8,,8
Apple,iPhone 3GS,,7
Apple,iPhone 3G,,7
Apple,iPhone (1st Generation),,2
